,NCT Number,DrugBank ID,SMILES
789,NCT03662516,DB00717,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
790,NCT03662516,DB07706,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CCC4=C(C=C(O)C(O)=C4)[C@@]3([H])CC[C@]12C
791,NCT03662516,DB04573,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
792,NCT03662516,DB13952,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(C)=O)C=C3CC[C@@]21[H]
793,NCT03566238,DB16261,CCCCC1(CCCC)CN(C2=CC=CC=C2)C2=CC(SC)=C(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(O)=O)C3=CC=C(O)C=C3)C=C2S(=O)(=O)N1
794,NCT02932566,DB04951,CC1=CN(C(=O)C=C1)C1=CC=CC=C1
795,NCT04044664,DB12120,COC1=CC(=C(C=C1C=C)C(=O)NC1=CC=C(C=C1)C(N)=N)C1=CC=C(N=C1C(O)=O)C(=O)NCC1CC1
796,NCT04044664,DB01563,OC(O)C(Cl)(Cl)Cl
797,NCT04044664,DB01495,OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl.CN1N(C(=O)C=C1C)C1=CC=CC=C1
798,NCT04044664,DB08924,CC(CC1=CC=CC=C1)\N=C\C(Cl)(Cl)Cl
799,NCT04044664,DB02650,[H]C(=O)C(Cl)(Cl)Cl
800,NCT04044664,DB13402,OC(O)C(Cl)(Cl)Cl.CC(=O)NCC(O)=O
801,NCT04044664,DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
802,NCT04044664,DB14514,[Mg++].CC(=O)CCC([O-])=O.CC(=O)CCC([O-])=O
803,NCT04044664,DB01534,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
804,NCT04044664,DB01494,OC(O)C(Cl)(Cl)Cl.C[N+](C)(C)CC([O-])=O
805,NCT04044664,DB12216,COC1=C2C=CC(=O)OC2=CC2=C1C=CO2
806,NCT04044664,DB04571,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1
807,NCT03249103,DB12120,COC1=CC(=C(C=C1C=C)C(=O)NC1=CC=C(C=C1)C(N)=N)C1=CC=C(N=C1C(O)=O)C(=O)NCC1CC1
808,NCT03249103,DB01563,OC(O)C(Cl)(Cl)Cl
809,NCT03249103,DB01495,OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl.CN1N(C(=O)C=C1C)C1=CC=CC=C1
810,NCT03249103,DB08924,CC(CC1=CC=CC=C1)\N=C\C(Cl)(Cl)Cl
811,NCT03249103,DB02650,[H]C(=O)C(Cl)(Cl)Cl
812,NCT03249103,DB13402,OC(O)C(Cl)(Cl)Cl.CC(=O)NCC(O)=O
813,NCT03249103,DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
814,NCT03249103,DB14514,[Mg++].CC(=O)CCC([O-])=O.CC(=O)CCC([O-])=O
815,NCT03249103,DB01534,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
816,NCT03249103,DB01494,OC(O)C(Cl)(Cl)Cl.C[N+](C)(C)CC([O-])=O
817,NCT03249103,DB12216,COC1=C2C=CC(=O)OC2=CC2=C1C=CO2
818,NCT03249103,DB04571,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1
819,NCT02207504,DB08865,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
820,NCT02207504,DB08899,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F
821,NCT02644525,DB00619,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
